record_id,date,city,country,region,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,pressure_hpa
408,2025-02-17,Beijing,China,Asia,,48.1,0.0,14.8,1002.4
1165,2025-03-26,Mexico City,Mexico,North America,21.1,60.1,0.0,22.2,1009.4
260,2025-03-21,Tokyo,Japan,Asia,19.7,67.4,2.8,16.6,1014.9
116,2025-01-26,Chiang Mai,Thailand,Asia,23.2,66.9,8.1,6.1,1019.9
723,2025-01-03,Berlin,Germany,Europe,10.3,70.9,1.3,17.4,1017.2
866,2025-02-25,Moscow,Russia,Europe,10.9,63.2,5.6,25.2,1010.6
1781,2025-03-12,Nairobi,Kenya,Africa,22.5,61.7,0.1,16.0,1010.5
1715,2025-01-05,Nairobi,Kenya,Africa,17.5,,5.6,22.3,1012.1
1741,2025-01-31,Nairobi,Kenya,Africa,25.0,55.3,0.0,18.8,1023.5
1268,2025-01-08,Sao Paulo,Brazil,South America,20.8,77.5,3.2,15.8,1012.7
1013,2025-01-23,Los Angeles,USA,North America,18.8,63.4,0.0,7.0,1017.5
999,2025-01-09,Los Angeles,USA,North America,13.4,60.5,0.5,18.4,1009.1
917,2025-01-17,New York,USA,North America,14.7,54.1,3.0,19.7,1011.9
1905,2025-01-15,Sydney,Australia,Oceania,21.6,80.9,6.8,28.0,1007.5
1609,2025-03-20,Cairo,Egypt,Africa,26.4,43.5,0.0,20.7,1018.7
479,2025-01-29,Mumbai,India,Asia,25.3,62.6,0.0,11.1,1012.5
53,2025-02-22,Bangkok,Thailand,Asia,30.8,74.5,0.0,8.9,1011.5
1533,2025-01-03,Cairo,Egypt,Africa,26.6,46.1,0.0,19.0,1018.4
770,2025-02-19,Berlin,Germany,Europe,15.1,78.7,0.1,14.1,1004.4
747,2025-01-27,Berlin,Germany,Europe,13.9,63.4,0.0,15.9,1017.8
441,2025-03-22,Beijing,China,Asia,21.4,43.5,4.9,7.2,1007.3
406,2025-02-15,Beijing,China,Asia,16.3,59.4,7.0,16.3,1010.1
881,2025-03-12,Moscow,Russia,Europe,10.0,76.6,0.0,17.1,1012.2
994,2025-01-04,Los Angeles,USA,North America,17.7,47.5,5.5,13.2,1021.7
1638,2025-01-18,Lagos,Nigeria,Africa,24.9,86.5,9.5,19.1,1018.7
1066,2025-03-17,Los Angeles,USA,North America,21.8,50.9,1.9,17.9,1002.5
1008,2025-01-18,Los Angeles,USA,North America,25.2,72.5,0.0,24.7,1015.3
1841,2025-02-10,Cape Town,South Africa,Africa,999.0,61.2,0.0,13.3,1006.3
10,2025-01-10,Bangkok,Thailand,Asia,28.9,71.3,12.2,17.1,1002.4
282,2025-01-12,Singapore,Singapore,Asia,26.9,68.6,15.0,13.1,1011.5
1567,2025-02-06,Cairo,Egypt,Africa,24.9,51.0,2.6,13.4,1014.3
27,2025-01-27,Bangkok,Thailand,Asia,27.9,75.5,3.8,17.8,1007.5
137,2025-02-16,Chiang Mai,Thailand,Asia,31.7,56.0,2.9,17.9,1005.7
3,2025-01-03,Bangkok,Thailand,Asia,29.0,71.3,9.0,3.5,1002.7
320,2025-02-19,Singapore,Singapore,Asia,28.5,,17.2,15.1,1008.6
838,2025-01-28,Moscow,Russia,Europe,7.8,86.8,0.0,12.5,1012.6
1459,2025-01-19,Lima,Peru,South America,12.9,69.9,0.0,9.1,1013.7
1744,2025-02-03,Nairobi,Kenya,Africa,22.6,,4.6,18.1,1008.2
2036,2025-02-25,Auckland,New Zealand,Oceania,17.8,77.4,6.2,24.1,1019.7
1861,2025-03-02,Cape Town,South Africa,Africa,21.5,71.8,4.1,4.4,1019.0
1648,2025-01-28,Lagos,Nigeria,Africa,30.8,89.3,3.1,24.7,1007.2
1253,2025-03-24,Toronto,Canada,North America,16.5,71.2,2.4,16.8,1009.4
859,2025-02-18,Moscow,Russia,Europe,9.3,64.6,0.0,13.7,1020.2
1620,2025-03-31,Cairo,Egypt,Africa,33.6,54.2,4.7,17.6,1014.0
112,2025-01-22,Chiang Mai,Thailand,Asia,27.4,61.1,3.3,17.4,1010.5
1677,2025-02-26,Lagos,Nigeria,Africa,30.6,84.5,7.4,22.5,1013.7
1849,2025-02-18,Cape Town,South Africa,Africa,21.9,64.5,1.9,8.4,1011.2
960,2025-03-01,New York,USA,North America,13.3,65.9,0.0,2.7,1017.4
1869,2025-03-10,Cape Town,South Africa,Africa,18.4,65.6,7.6,17.7,1013.2
855,2025-02-14,Moscow,Russia,Europe,7.5,63.8,0.0,8.5,1000.9
1892,2025-01-02,Sydney,Australia,Oceania,16.3,71.3,3.2,,1011.8
599,2025-02-28,London,UK,Europe,18.2,82.8,3.3,13.7,1007.3
262,2025-03-23,Tokyo,Japan,Asia,17.7,60.2,4.0,21.5,1015.8
1488,2025-02-17,Lima,Peru,South America,22.7,68.8,0.8,5.9,1016.8
569,2025-01-29,London,UK,Europe,13.7,65.9,8.9,8.0,1014.3
1957,2025-03-08,Sydney,Australia,Oceania,20.5,73.6,0.0,16.9,1003.7
501,2025-02-20,Mumbai,India,Asia,32.5,77.7,4.7,11.3,1006.5
87,2025-03-28,Bangkok,Thailand,Asia,31.0,58.7,6.9,19.3,1022.0
1655,2025-02-04,Lagos,Nigeria,Africa,25.6,90.5,4.9,12.7,1006.3
1590,2025-03-01,Cairo,Egypt,Africa,24.1,54.0,3.2,20.9,1013.1
133,2025-02-12,Chiang Mai,Thailand,Asia,28.3,60.6,4.9,11.7,1008.7
687,2025-02-26,Paris,France,Europe,16.5,,5.1,14.4,1026.6
203,2025-01-23,Tokyo,Japan,Asia,20.8,61.6,12.3,10.9,1023.4
1195,2025-01-25,Toronto,Canada,North America,13.1,65.0,5.7,2.1,1015.7
788,2025-03-09,Berlin,Germany,Europe,14.7,80.0,0.0,12.9,1008.4
1466,2025-01-26,Lima,Peru,South America,22.5,84.4,2.6,6.7,1010.2
1623,2025-01-03,Lagos,Nigeria,Africa,24.8,66.5,0.0,7.4,1007.7
1175,2025-01-05,Toronto,Canada,North America,7.8,66.7,4.4,9.5,1020.6
1473,2025-02-02,Lima,Peru,South America,19.3,80.3,5.2,11.7,1019.2
1837,2025-02-06,Cape Town,South Africa,Africa,19.1,61.9,1.1,17.0,1012.0
218,2025-02-07,Tokyo,Japan,Asia,19.5,68.2,5.0,13.4,1011.8
1699,2025-03-20,Lagos,Nigeria,Africa,34.1,74.2,6.5,11.7,1007.1
908,2025-01-08,New York,USA,North America,12.0,63.7,1.8,13.7,1017.6
1202,2025-02-01,Toronto,Canada,North America,13.2,62.4,0.0,21.8,1008.0
792,2025-03-13,Berlin,Germany,Europe,12.3,69.3,1.0,21.7,1014.1
219,2025-02-08,Tokyo,Japan,Asia,18.3,59.7,6.9,15.3,1017.4
1212,2025-02-11,Toronto,Canada,North America,15.4,65.6,7.1,30.9,1016.6
731,2025-01-11,Berlin,Germany,Europe,11.8,74.4,3.8,10.0,1013.9
526,2025-03-17,Mumbai,India,Asia,29.7,81.2,8.8,12.3,1010.1
17,2025-01-17,Bangkok,Thailand,Asia,30.6,77.9,13.9,11.9,1008.1
1380,2025-01-30,Buenos Aires,Argentina,South America,18.6,62.2,0.0,14.8,1004.2
1028,2025-02-07,Los Angeles,USA,North America,20.6,58.8,3.9,10.8,1009.0
1814,2025-01-14,Cape Town,South Africa,Africa,17.0,57.8,4.3,24.0,1017.3
1613,2025-03-24,Cairo,Egypt,Africa,27.2,46.2,0.0,21.0,1007.7
913,2025-01-13,New York,USA,North America,11.2,75.8,0.0,16.3,1017.8
798,2025-03-19,Berlin,Germany,Europe,8.7,74.4,0.0,26.5,1008.4
310,2025-02-09,Singapore,Singapore,Asia,31.7,72.0,10.2,19.6,1020.4
147,2025-02-26,Chiang Mai,Thailand,Asia,30.8,57.2,6.6,4.8,1019.2
524,2025-03-15,Mumbai,India,Asia,33.5,64.1,6.3,17.7,1021.7
820,2025-01-10,Moscow,Russia,Europe,3.1,72.8,0.0,14.2,1013.4
1333,2025-03-14,Sao Paulo,Brazil,South America,25.9,67.0,8.5,0.0,1008.7
1537,2025-01-07,Cairo,Egypt,Africa,24.8,38.6,0.0,24.3,1019.0
639,2025-01-09,Paris,France,Europe,11.6,77.7,12.1,11.3,1003.8
1326,2025-03-07,Sao Paulo,Brazil,South America,18.5,75.0,10.8,11.5,1015.6
1489,2025-02-18,Lima,Peru,South America,26.4,97.3,1.4,19.7,1002.3
1154,2025-03-15,Mexico City,Mexico,North America,20.0,63.0,2.7,16.2,1003.3
1496,2025-02-25,Lima,Peru,South America,26.6,57.0,1.8,26.5,1010.9
757,2025-02-06,Berlin,Germany,Europe,12.0,67.4,0.0,8.0,1015.8
1797,2025-03-28,Nairobi,Kenya,Africa,22.2,71.0,3.6,20.0,1011.6
708,2025-03-19,Paris,France,Europe,19.9,77.4,0.0,14.7,1012.0
2014,2025-02-03,Auckland,New Zealand,Oceania,17.1,75.8,5.7,16.3,1010.9
1168,2025-03-29,Mexico City,Mexico,North America,19.9,42.8,8.8,7.6,1009.5
16,2025-01-16,Bangkok,Thailand,Asia,33.1,75.7,6.8,15.6,1001.1
64,2025-03-05,Bangkok,Thailand,Asia,33.6,80.5,6.8,16.9,1012.2
1032,2025-02-11,Los Angeles,USA,North America,20.6,56.1,12.7,13.9,1006.2
583,2025-02-12,London,UK,Europe,12.4,80.9,0.1,19.5,1017.1
1359,2025-01-09,Buenos Aires,Argentina,South America,18.4,64.4,6.6,11.4,1011.8
1676,2025-02-25,Lagos,Nigeria,Africa,29.8,71.1,3.3,19.9,1014.4
946,2025-02-15,New York,USA,North America,7.9,,1.0,24.6,1013.1
669,2025-02-08,Paris,France,Europe,16.3,70.1,0.0,22.4,1007.2
45,2025-02-14,Bangkok,Thailand,Asia,38.6,60.1,10.7,5.3,1010.2
452,2025-01-02,Mumbai,India,Asia,29.0,77.1,4.3,0.0,1014.2
2062,2025-03-23,Auckland,New Zealand,Oceania,15.8,78.1,,14.1,1017.3
565,2025-01-25,London,UK,Europe,12.0,84.8,2.8,6.6,1012.7
142,2025-02-21,Chiang Mai,Thailand,Asia,31.6,54.8,12.0,2.5,1023.2
1636,2025-01-16,Lagos,Nigeria,Africa,30.9,94.8,13.1,19.5,1011.5
813,2025-01-03,Moscow,Russia,Europe,7.1,70.2,0.0,16.9,1007.0
1779,2025-03-10,Nairobi,Kenya,Africa,22.0,64.2,0.3,8.5,1006.3
722,2025-01-02,Berlin,Germany,Europe,8.2,63.8,6.3,6.9,1010.5
489,2025-02-08,Mumbai,India,Asia,34.9,81.1,0.8,19.1,1010.0
955,2025-02-24,New York,USA,North America,16.3,54.2,5.6,15.1,999.1
1627,2025-01-07,Lagos,Nigeria,Africa,26.8,86.7,8.1,26.0,1003.8
963,2025-03-04,New York,USA,North America,18.4,46.7,5.6,10.2,1014.8
233,2025-02-22,Tokyo,Japan,Asia,12.9,78.3,0.0,5.1,1019.1
1478,2025-02-07,Lima,Peru,South America,22.2,72.5,2.3,17.6,1018.0
1683,2025-03-04,Lagos,Nigeria,Africa,30.2,90.1,2.8,16.6,1009.5
7,2025-01-07,Bangkok,Thailand,Asia,29.0,89.8,7.9,8.7,1017.9
51,2025-02-20,Bangkok,Thailand,Asia,29.9,82.3,16.5,21.2,1003.9
714,2025-03-25,Paris,France,Europe,16.1,73.8,7.3,16.3,1018.4
209,2025-01-29,Tokyo,Japan,Asia,22.1,56.3,8.3,14.8,1012.0
1048,2025-02-27,Los Angeles,USA,North America,26.5,43.8,5.8,16.1,1018.0
317,2025-02-16,Singapore,Singapore,Asia,31.4,89.2,4.9,15.4,1015.6
1911,2025-01-21,Sydney,Australia,Oceania,20.3,65.6,5.2,13.6,1010.4
351,2025-03-22,Singapore,Singapore,Asia,25.2,85.4,6.4,4.0,1016.1
383,2025-01-23,Beijing,China,Asia,18.9,62.9,4.6,18.0,1002.2
1875,2025-03-16,Cape Town,South Africa,Africa,17.1,,0.0,17.0,1008.1
417,2025-02-26,Beijing,China,Asia,16.3,49.8,0.0,1.2,1009.7
765,2025-02-14,Berlin,Germany,Europe,11.8,72.2,1.8,16.1,1009.0
138,2025-02-17,Chiang Mai,Thailand,Asia,31.7,63.1,3.5,19.3,1015.7
847,2025-02-06,Moscow,Russia,Europe,3.5,78.8,0.0,18.0,1003.6
168,2025-03-19,Chiang Mai,Thailand,Asia,31.5,77.4,1.0,20.9,1011.7
1241,2025-03-12,Toronto,Canada,North America,11.4,56.2,12.2,26.2,1006.0
841,2025-01-31,Moscow,Russia,Europe,7.6,59.3,0.0,9.2,1013.7
1493,2025-02-22,Lima,Peru,South America,20.6,74.7,,8.1,1025.7
1217,2025-02-16,Toronto,Canada,North America,15.8,67.6,7.9,15.8,
1917,2025-01-27,Sydney,Australia,Oceania,23.5,53.7,0.0,16.6,1019.9
768,2025-02-17,Berlin,Germany,Europe,11.9,79.9,3.5,9.2,1011.1
164,2025-03-15,Chiang Mai,Thailand,Asia,27.1,67.1,8.6,15.5,1019.4
1879,2025-03-20,Cape Town,South Africa,Africa,20.6,77.1,1.1,14.8,1014.0
1538,2025-01-08,Cairo,Egypt,Africa,25.8,41.0,2.2,13.6,1011.8
79,2025-03-20,Bangkok,Thailand,Asia,31.7,78.9,2.7,26.0,1020.1
503,2025-02-22,Mumbai,India,Asia,32.4,74.4,8.2,13.5,1012.2
1405,2025-02-24,Buenos Aires,Argentina,South America,26.4,55.0,0.8,15.2,1019.8
443,2025-03-24,Beijing,China,Asia,13.8,49.8,5.5,12.3,1010.2
318,2025-02-17,Singapore,Singapore,Asia,32.7,81.4,7.5,10.0,1013.5
154,2025-03-05,Chiang Mai,Thailand,Asia,28.8,64.7,12.1,11.2,1023.9
1652,2025-02-01,Lagos,Nigeria,Africa,32.7,,7.9,13.1,1014.6
836,2025-01-26,Moscow,Russia,Europe,8.0,67.9,3.2,25.9,1010.9
1565,2025-02-04,Cairo,Egypt,Africa,26.8,51.8,0.0,16.7,1018.8
1157,2025-03-18,Mexico City,Mexico,North America,17.8,52.5,4.8,27.6,1012.2
496,2025-02-15,Mumbai,India,Asia,32.7,68.2,11.8,7.0,1017.2
153,2025-03-04,Chiang Mai,Thailand,Asia,29.1,66.0,15.2,14.4,1019.9
959,2025-02-28,New York,USA,North America,15.7,58.8,2.5,16.6,1012.1
413,2025-02-22,Beijing,China,Asia,18.3,43.9,3.6,14.4,1014.6
763,2025-02-12,Berlin,Germany,Europe,10.2,73.4,0.0,15.6,1005.4
212,2025-02-01,Tokyo,Japan,Asia,16.4,59.8,8.7,18.3,1010.8
755,2025-02-04,Berlin,Germany,Europe,14.8,66.0,0.0,10.4,1002.4
1100,2025-01-20,Mexico City,Mexico,North America,15.2,57.0,0.4,1.8,1022.6
1844,2025-02-13,Cape Town,South Africa,Africa,22.8,74.7,3.1,9.6,1010.5
337,2025-03-08,Singapore,Singapore,Asia,32.7,79.8,5.4,16.9,1005.9
254,2025-03-15,Tokyo,Japan,Asia,16.3,59.1,0.4,10.6,1020.4
169,2025-03-20,Chiang Mai,Thailand,Asia,30.8,70.4,0.5,17.3,1014.0
1509,2025-03-10,Lima,Peru,South America,24.2,74.7,4.2,23.1,1019.3
1300,2025-02-09,Sao Paulo,Brazil,South America,23.5,80.0,9.7,14.6,1010.9
1128,2025-02-17,Mexico City,Mexico,North America,21.7,74.7,0.0,13.0,1014.4
374,2025-01-14,Beijing,China,Asia,9.8,53.3,6.5,8.5,1010.5
1447,2025-01-07,Lima,Peru,South America,16.9,88.5,2.0,19.4,1009.2
1483,2025-02-12,Lima,Peru,South America,24.3,75.8,0.1,17.4,1026.7
1270,2025-01-10,Sao Paulo,Brazil,South America,20.9,68.5,10.1,8.0,1008.7
502,2025-02-21,Mumbai,India,Asia,29.1,93.6,11.0,6.9,
1211,2025-02-10,Toronto,Canada,North America,15.0,73.2,1.5,20.1,1015.0
1775,2025-03-06,Nairobi,Kenya,Africa,25.2,60.7,0.0,13.2,1015.8
624,2025-03-25,London,UK,Europe,15.6,76.4,0.0,21.3,1022.9
330,2025-03-01,Singapore,Singapore,Asia,32.5,78.5,12.9,22.1,1028.5
1830,2025-01-30,Cape Town,South Africa,Africa,14.7,63.0,0.1,11.9,1015.5
70,2025-03-11,Bangkok,Thailand,Asia,34.3,63.4,2.4,10.7,1011.7
249,2025-03-10,Tokyo,Japan,Asia,18.8,58.4,1.7,8.9,1009.1
521,2025-03-12,Mumbai,India,Asia,27.1,75.0,3.5,7.9,1009.3
670,2025-02-09,Paris,France,Europe,18.6,69.7,9.4,19.1,1012.2
1406,2025-02-25,Buenos Aires,Argentina,South America,22.3,70.5,0.0,8.1,1014.9
1324,2025-03-05,Sao Paulo,Brazil,South America,23.6,80.7,14.5,6.4,1011.6
33,2025-02-02,Bangkok,Thailand,Asia,29.7,81.3,12.6,10.1,1018.8
420,2025-03-01,Beijing,China,Asia,16.2,50.4,0.0,5.7,1017.9
1247,2025-03-18,Toronto,Canada,North America,13.6,62.1,2.3,0.1,1011.7
1105,2025-01-25,Mexico City,Mexico,North America,16.8,,6.0,11.3,1007.9
709,2025-03-20,Paris,France,Europe,16.7,83.6,,8.5,1021.3
293,2025-01-23,Singapore,Singapore,Asia,29.2,70.2,8.2,9.9,1009.5
1452,2025-01-12,Lima,Peru,South America,24.4,74.3,3.6,11.5,1027.7
1446,2025-01-06,Lima,Peru,South America,16.6,74.5,,16.0,1017.0
175,2025-03-26,Chiang Mai,Thailand,Asia,30.5,58.6,0.0,10.6,1012.8
1194,2025-01-24,Toronto,Canada,North America,10.9,71.8,7.9,17.0,1009.4
1918,2025-01-28,Sydney,Australia,Oceania,15.9,68.3,5.3,2.6,1017.8
1650,2025-01-30,Lagos,Nigeria,Africa,25.6,82.2,5.4,,1017.1
1491,2025-02-20,Lima,Peru,South America,20.9,78.8,0.0,21.1,1006.7
172,2025-03-23,Chiang Mai,Thailand,Asia,29.5,58.3,6.9,11.7,1016.8
671,2025-02-10,Paris,France,Europe,13.3,69.3,4.7,15.5,1009.4
654,2025-01-24,Paris,France,Europe,18.5,65.0,1.5,16.4,1016.9
570,2025-01-30,London,UK,Europe,10.2,,0.0,11.4,1009.8
1238,2025-03-09,Toronto,Canada,North America,10.8,68.3,7.7,14.9,1020.7
577,2025-02-06,London,UK,Europe,7.8,61.0,0.6,17.7,996.5
1975,2025-03-26,Sydney,Australia,Oceania,22.1,55.2,1.7,23.3,1014.9
1390,2025-02-09,Buenos Aires,Argentina,South America,23.2,53.3,6.6,12.8,1017.2
54,2025-02-23,Bangkok,Thailand,Asia,30.1,88.1,2.3,12.4,1013.8
1420,2025-03-11,Buenos Aires,Argentina,South America,17.4,89.7,2.7,9.7,1004.6
1393,2025-02-12,Buenos Aires,Argentina,South America,23.5,69.9,5.0,,1014.2
94,2025-01-04,Chiang Mai,Thailand,Asia,26.7,69.9,8.0,11.8,1009.5
727,2025-01-07,Berlin,Germany,Europe,12.0,64.9,1.1,19.5,1015.5
968,2025-03-09,New York,USA,North America,16.9,58.3,0.0,23.1,1009.1
1293,2025-02-02,Sao Paulo,Brazil,South America,21.2,61.8,4.3,,1005.8
106,2025-01-16,Chiang Mai,Thailand,Asia,23.6,52.0,5.2,16.6,1007.6
274,2025-01-04,Singapore,Singapore,Asia,27.9,79.8,5.3,12.3,1007.7
875,2025-03-06,Moscow,Russia,Europe,4.2,63.6,0.0,15.8,1019.0
157,2025-03-08,Chiang Mai,Thailand,Asia,31.1,54.3,6.5,18.7,1016.4
234,2025-02-23,Tokyo,Japan,Asia,25.3,,6.3,18.6,1018.1
1941,2025-02-20,Sydney,Australia,Oceania,20.5,68.6,5.3,15.0,1016.3
1527,2025-03-28,Lima,Peru,South America,25.7,68.2,4.9,19.2,1024.1
1661,2025-02-10,Lagos,Nigeria,Africa,33.2,78.2,4.1,15.8,1018.0
685,2025-02-24,Paris,France,Europe,13.7,71.4,4.7,,1002.3
1798,2025-03-29,Nairobi,Kenya,Africa,27.2,54.6,1.5,24.1,1010.3
938,2025-02-07,New York,USA,North America,17.1,55.6,0.0,6.3,1010.1
386,2025-01-26,Beijing,China,Asia,12.4,24.8,0.9,21.6,
208,2025-01-28,Tokyo,Japan,Asia,21.8,50.2,0.0,16.3,1019.3
222,2025-02-11,Tokyo,Japan,Asia,16.0,64.9,0.0,11.3,1024.5
681,2025-02-20,Paris,France,Europe,16.3,76.6,3.8,14.4,1015.6
984,2025-03-25,New York,USA,North America,17.5,70.5,1.5,23.1,1020.8
465,2025-01-15,Mumbai,India,Asia,30.1,76.2,7.8,25.0,1013.0
1296,2025-02-05,Sao Paulo,Brazil,South America,23.9,80.3,1.4,13.5,1014.8
1297,2025-02-06,Sao Paulo,Brazil,South America,24.1,55.8,1.5,13.0,1017.2
587,2025-02-16,London,UK,Europe,16.1,74.4,0.0,20.7,1018.3
23,2025-01-23,Bangkok,Thailand,Asia,26.7,74.8,8.2,29.8,1011.8
505,2025-02-24,Mumbai,India,Asia,31.7,93.9,7.5,13.1,1018.5
2021,2025-02-10,Auckland,New Zealand,Oceania,21.1,79.6,0.0,11.0,1007.9
1264,2025-01-04,Sao Paulo,Brazil,South America,22.1,90.6,2.9,20.7,1012.4
308,2025-02-07,Singapore,Singapore,Asia,26.4,84.1,6.9,8.0,995.8
1067,2025-03-18,Los Angeles,USA,North America,20.5,53.0,2.0,22.2,1008.4
852,2025-02-11,Moscow,Russia,Europe,10.2,61.3,7.7,14.4,1007.7
523,2025-03-14,Mumbai,India,Asia,33.4,60.9,5.2,15.0,1016.6
1255,2025-03-26,Toronto,Canada,North America,12.1,70.9,2.6,8.5,1010.6
1276,2025-01-16,Sao Paulo,Brazil,South America,23.8,,5.3,20.4,1013.4
161,2025-03-12,Chiang Mai,Thailand,Asia,33.1,60.9,5.4,12.2,1010.4
1898,2025-01-08,Sydney,Australia,Oceania,21.8,63.7,7.8,12.1,1014.6
1729,2025-01-19,Nairobi,Kenya,Africa,24.3,53.8,8.6,16.1,1014.5
2040,2025-03-01,Auckland,New Zealand,Oceania,19.8,,8.1,22.7,1014.8
2003,2025-01-23,Auckland,New Zealand,Oceania,18.8,84.8,0.0,12.2,1017.9
775,2025-02-24,Berlin,Germany,Europe,9.8,71.3,0.0,6.1,1008.6
1771,2025-03-02,Nairobi,Kenya,Africa,27.1,54.0,0.0,3.0,1012.1
1580,2025-02-19,Cairo,Egypt,Africa,24.7,55.6,0.0,7.0,1010.1
92,2025-01-02,Chiang Mai,Thailand,Asia,25.2,64.1,0.9,11.7,1005.8
1169,2025-03-30,Mexico City,Mexico,North America,21.9,48.4,0.0,2.3,1017.3
1397,2025-02-16,Buenos Aires,Argentina,South America,17.6,78.5,1.9,11.0,1005.5
1415,2025-03-06,Buenos Aires,Argentina,South America,24.6,60.5,0.0,22.1,1017.4
561,2025-01-21,London,UK,Europe,12.9,,4.4,9.0,1012.4
833,2025-01-23,Moscow,Russia,Europe,6.6,71.8,0.9,4.0,1010.4
1873,2025-03-14,Cape Town,South Africa,Africa,24.4,76.3,1.9,15.8,1019.7
1968,2025-03-19,Sydney,Australia,Oceania,24.5,73.2,7.7,9.0,1005.7
1817,2025-01-17,Cape Town,South Africa,Africa,17.9,77.8,1.4,16.8,1021.3
361,2025-01-01,Beijing,China,Asia,17.8,44.5,0.0,5.9,1002.2
